,Date,Value,USD(PM)
0,2016/9/11,621.65,0.0
1,2016/9/12,609.67,0.0
2,2016/9/13,610.92,0.0
3,2016/9/14,608.82,0.0
4,2016/9/15,610.38,0.0
5,2016/9/16,609.11,0.0
6,2016/9/17,607.04,0.0
7,2016/9/18,611.58,0.0
8,2016/9/19,610.19,0.0
9,2016/9/20,608.66,0.0
10,2016/9/21,598.88,0.0
11,2016/9/22,597.42,0.0
12,2016/9/23,594.08,0.0
13,2016/9/24,603.88,0.0
14,2016/9/25,601.74,0.0
15,2016/9/26,598.98,0.0
16,2016/9/27,605.96,0.0
17,2016/9/28,605.67,0.0
18,2016/9/29,603.85,0.0
19,2016/9/30,609.39,0.0
20,2016/10/1,614.82,0.0
21,2016/10/2,612.98,0.0
22,2016/10/3,611.85,0.0
23,2016/10/4,609.62,0.0
24,2016/10/5,607.18,0.0
25,2016/10/6,612.08,0.0
26,2016/10/7,617.21,0.0
27,2016/10/8,614.74,0.0
28,2016/10/9,615.65,0.0
29,2016/10/10,617.54,0.0
30,2016/10/11,614.77,0.0
31,2016/10/12,635.01,0.0
32,2016/10/13,635.96,0.0
33,2016/10/14,634.02,0.0
34,2016/10/15,637.94,0.0
35,2016/10/16,641.42,0.0
36,2016/10/17,638.97,0.0
37,2016/10/18,636.29,0.0
38,2016/10/19,629.25,0.0
39,2016/10/20,627.72,0.0
40,2016/10/21,631.92,0.0
41,2016/10/22,655.48,0.0
42,2016/10/23,653.25,0.0
43,2016/10/24,651.39,0.0
44,2016/10/25,655.31,0.0
45,2016/10/26,651.45,0.0
46,2016/10/27,682.22,0.0
47,2016/10/28,687.68,0.0
48,2016/10/29,685.91,0.0
49,2016/10/30,698.0,0.0
50,2016/10/31,702.0,0.0
51,2016/11/1,697.01,0.0
52,2016/11/2,733.33,0.0
53,2016/11/3,686.17,0.0
54,2016/11/4,683.69,0.0
55,2016/11/5,704.79,0.0
56,2016/11/6,712.0,0.0
57,2016/11/7,709.96,0.0
58,2016/11/8,708.97,0.0
59,2016/11/9,720.93,0.0
60,2016/11/10,721.5,0.0
61,2016/11/11,715.45,0.0
62,2016/11/12,703.71,0.0
63,2016/11/13,702.28,0.0
64,2016/11/14,706.46,0.0
65,2016/11/15,710.91,0.0
66,2016/11/16,711.73,0.0
67,2016/11/17,736.96,0.0
68,2016/11/18,747.52,0.0
69,2016/11/19,748.98,0.0
70,2016/11/20,729.06,0.0
71,2016/11/21,738.53,0.0
72,2016/11/22,736.97,0.0
