Date,Value
2016/9/12,-0.004439076
2016/9/13,-0.008561176
2016/9/14,-0.011956119
2016/9/15,-0.00853906
2016/9/16,-0.002434555
2016/9/19,0.001928803
2016/9/20,0.015507535
2016/9/21,0.020731289
2016/9/22,0.015838209
2016/9/23,0.009299746
2016/9/26,-0.012065375
2016/9/27,-0.012316523
2016/9/28,-0.015421484
2016/9/29,-0.001392381
2016/9/30,-0.008689641
2016/10/3,-0.032761848
2016/10/4,-0.039665138
2016/10/5,-0.04294542
2016/10/6,-0.014952987
2016/10/7,-0.005651833
2016/10/10,-0.003007842
2016/10/11,-0.000697737
2016/10/12,0.00304585
2016/10/13,-0.004404749
2016/10/14,-0.000603045
2016/10/17,-0.000221221
2016/10/18,0.015706045
2016/10/19,0.012627079
2016/10/20,0.002945325
2016/10/21,-0.002840481
2016/10/24,5.80494E-05
2016/10/25,0.00355221
2016/10/26,-0.001146
2016/10/27,0.004607206
2016/10/28,0.001085953
2016/10/31,0.020522016
2016/11/1,0.026772627
2016/11/2,0.018168961
2016/11/3,0.009333865
2016/11/4,-0.019994821
2016/11/7,-0.01324625
2016/11/8,-0.01368893
2016/11/9,-0.015104785
2016/11/10,-0.041355064
2016/11/11,-0.053626847
2016/11/14,-0.022656342
2016/11/15,-0.002729475
2016/11/16,0.007776744
2016/11/17,-0.016887876
2016/11/18,-0.009716808
2016/11/21,-0.010075882
2016/11/22,-0.027845784
2016/11/23,-0.020496745
2016/11/24,-0.01571963
2016/11/25,0.000952596
2016/11/28,5.47099E-05
2016/11/29,-0.01002711
2016/11/30,-0.024353591
2016/12/1,-0.00530581
2016/12/2,-0.014619115
2016/12/5,0.010805484
2016/12/6,0.005945825
2016/12/7,0.003659297
2016/12/8,-0.009759588
2016/12/9,-0.018469365
2016/12/12,-0.00818048
2016/12/13,0.000875264
2016/12/14,-0.034488351
2016/12/15,-0.019643423
2016/12/16,-0.015847635
2016/12/19,-0.005114022
2016/12/20,0.004050839
2016/12/21,-0.003772119
2016/12/22,0.007545339
2016/12/28,0.014000834
2016/12/29,0.017142355
2017/1/3,0.027181499
2017/1/4,0.028140716
2017/1/5,0.017827953
2017/1/6,0.010797748
2017/1/9,0.013671367
2017/1/10,-0.001861031
2017/1/11,0.028573295
2017/1/12,-0.003309446
2017/1/13,0.020601892
2017/1/16,0.01393074
2017/1/17,0.016808221
2017/1/18,-0.01232978
2017/1/19,-0.009908829
2017/1/20,0.004229644
2017/1/23,0.016533883
2017/1/24,-0.012255755
2017/1/25,-0.019187491
2017/1/26,-0.023663823
2017/1/27,0.001457612
2017/1/30,0.024867108
2017/1/31,0.010432353
2017/2/1,0.026439158
2017/2/2,0.000333563
2017/2/3,0.019527846
2017/2/6,0.008649694
2017/2/7,0.022593412
2017/2/8,0.005275188
2017/2/9,-0.00559291
2017/2/10,-0.015915803
2017/2/13,-0.000975718
2017/2/14,-0.00442372
2017/2/15,0.01813587
2017/2/16,0.0091943
2017/2/17,0.006568773
2017/2/20,-0.006753101
2017/2/21,-0.002365099
2017/2/22,0.011753777
2017/2/23,0.016507876
2017/2/24,0.015122475
2017/2/27,0.004561518
2017/2/28,-0.014529554
2017/3/1,-0.014285628
2017/3/2,-0.023406072
2017/3/3,-0.00525092
2017/3/6,-0.019251991
2017/3/7,-0.015416756
2017/3/8,-0.01766024
2017/3/9,-0.011052165
2017/3/10,-0.002996349
2017/3/13,-0.001000866
2017/3/14,-0.004922505
2017/3/15,0.029326975
2017/3/16,0.019292079
2017/3/17,0.02325675
2017/3/20,0.011984055
2017/3/21,0.016449259
2017/3/22,0.00971888
2017/3/23,0.003662982
2017/3/24,0.009514937
2017/3/27,0.006935123
2017/3/28,-0.00018273
2017/3/29,-0.006966773
2017/3/30,-0.009659187
2017/3/31,-0.001822432
2017/4/3,0.010086064
2017/4/4,-0.003282297
2017/4/5,0.005109047
2017/4/6,0.011800747
2017/4/7,-0.002691555
2017/4/10,9.94627E-05
2017/4/11,0.013848617
2017/4/12,0.027508067
2017/4/13,0.015127035
2017/4/18,0.002602633
2017/4/19,-8.3014E-05
2017/4/20,0.001954308
2017/4/21,-0.010850983
2017/4/24,-0.010517714
2017/4/25,-0.01498308
2017/4/26,-0.004259831
2017/4/27,0.000664209
2017/4/28,-0.008081146
2017/5/2,-0.010793393
2017/5/3,-0.032919068
2017/5/4,-0.019424586
2017/5/5,-0.012604854
2017/5/8,-0.008888794
2017/5/9,-0.003047511
2017/5/10,-0.004056701
2017/5/11,0.010471337
2017/5/12,0.008273652
2017/5/15,0.007731401
2017/5/16,0.026724413
2017/5/17,0.01590532
2017/5/18,0.009696368
2017/5/19,0.003350813
2017/5/22,0.003830981
2017/5/23,-0.00258057
2017/5/24,-6.35389E-05
2017/5/25,0.006684565
2017/5/26,0.006169301
2017/5/30,0.007077064
2017/5/31,-0.000382625
2017/6/1,0.01168652
2017/6/2,0.011483424
2017/6/5,0.023879708
2017/6/6,0.010112458
2017/6/7,-0.011323345
2017/6/8,-0.020574503
2017/6/9,-0.015959839
2017/6/12,-0.008726472
2017/6/13,0.010704118
2017/6/14,-0.0145544
2017/6/15,-0.00546054
2017/6/16,-0.020072038
2017/6/19,-0.010798761
2017/6/20,-0.008611634
2017/6/21,0.005078139
2017/6/22,0.011349842
2017/6/23,-0.002023834
2017/6/26,9.1715E-05
2017/6/27,-0.005201106
2017/6/28,-0.003044583
2017/6/29,-0.005536938
2017/6/30,-0.017270237
2017/7/3,-0.015948555
2017/7/4,-0.016057016
2017/7/5,-0.001247619
2017/7/6,-0.00867115
2017/7/7,-0.007774388
2017/7/10,-0.009745463
2017/7/11,0.005217803
2017/7/12,0.005303152
2017/7/13,0.017451323
2017/7/14,0.012548022
2017/7/17,0.017323127
2017/7/18,0.008799023
2017/7/19,0.001687732
2017/7/20,0.008756697
2017/7/21,0.012289376
2017/7/24,0.010177674
2017/7/25,-0.002888133
2017/7/26,0.008270835
2017/7/27,0.009286182
2017/7/28,0.013752406
2017/7/31,0.007801444
2017/8/1,0.002702085
2017/8/2,-0.000350565
2017/8/3,-0.012504515
2017/8/4,-0.008020251
2017/8/7,-0.002472004
2017/8/8,0.012513646
2017/8/9,0.022896944
2017/8/10,0.017055367
2017/8/11,0.00566817
2017/8/14,-0.013675599
2017/8/15,-0.008311497
2017/8/16,0.006870879
2017/8/17,0.021274871
2017/8/18,0.012261642
2017/8/21,-0.004170927
2017/8/22,-0.005389068
2017/8/23,-0.001322779
2017/8/24,-0.000570634
2017/8/25,0.033005153
2017/8/29,0.010753667
2017/8/30,0.0167035
2017/8/31,0.004620939
2017/9/1,0.020613171
2017/9/4,0.016350863
2017/9/5,0.011566207
2017/9/6,0.008540705
2017/9/7,0.007859006
2017/9/8,-0.006432484
2017/9/11,-0.013836397
2017/9/12,-0.011370958
2017/9/13,-0.006847335
2017/9/14,-0.003065216
