,Date,USD(PM),Value,DealDay
0,2016-09-11 00:00:00,1324.6,621.65,0
1,2016-09-12 00:00:00,1324.6,609.67,1
2,2016-09-13 00:00:00,1323.65,610.92,1
3,2016-09-14 00:00:00,1321.75,608.82,1
4,2016-09-15 00:00:00,1310.8,610.38,1
5,2016-09-16 00:00:00,1308.35,609.11,1
6,2016-09-17 00:00:00,1308.35,607.04,0
7,2016-09-18 00:00:00,1308.35,611.58,0
8,2016-09-19 00:00:00,1314.85,610.19,1
9,2016-09-20 00:00:00,1313.8,608.66,1
10,2016-09-21 00:00:00,1326.1,598.88,1
11,2016-09-22 00:00:00,1339.1,597.42,1
12,2016-09-23 00:00:00,1338.65,594.08,1
13,2016-09-24 00:00:00,1338.65,603.88,0
14,2016-09-25 00:00:00,1338.65,601.74,0
15,2016-09-26 00:00:00,1340.5,598.98,1
16,2016-09-27 00:00:00,1327,605.96,1
17,2016-09-28 00:00:00,1322.5,605.67,1
18,2016-09-29 00:00:00,1318.1,603.85,1
19,2016-09-30 00:00:00,1322.5,609.39,1
20,2016-10-01 00:00:00,1322.5,614.82,0
21,2016-10-02 00:00:00,1322.5,612.98,0
22,2016-10-03 00:00:00,1313.3,611.85,1
23,2016-10-04 00:00:00,1283.3,609.62,1
24,2016-10-05 00:00:00,1269.4,607.18,1
25,2016-10-06 00:00:00,1254.5,612.08,1
26,2016-10-07 00:00:00,1258.75,617.21,1
27,2016-10-08 00:00:00,1258.75,614.74,0
28,2016-10-09 00:00:00,1258.75,615.65,0
29,2016-10-10 00:00:00,1259.5,617.54,1
30,2016-10-11 00:00:00,1253.45,614.77,1
31,2016-10-12 00:00:00,1256.5,635.01,1
32,2016-10-13 00:00:00,1261.05,635.96,1
33,2016-10-14 00:00:00,1251.75,634.02,1
34,2016-10-15 00:00:00,1251.75,637.94,0
35,2016-10-16 00:00:00,1251.75,641.42,0
36,2016-10-17 00:00:00,1254.8,638.97,1
37,2016-10-18 00:00:00,1258.2,636.29,1
38,2016-10-19 00:00:00,1269.05,629.25,1
39,2016-10-20 00:00:00,1271.65,627.72,1
40,2016-10-21 00:00:00,1266.05,631.92,1
41,2016-10-22 00:00:00,1266.05,655.48,0
42,2016-10-23 00:00:00,1266.05,653.25,0
43,2016-10-24 00:00:00,1265.55,651.39,1
44,2016-10-25 00:00:00,1269.4,655.31,1
45,2016-10-26 00:00:00,1270.5,651.45,1
46,2016-10-27 00:00:00,1266.25,682.22,1
47,2016-10-28 00:00:00,1273,687.68,1
