Date,USD(PM),,,,
2016/9/12,1324.6,,,,
2016/9/13,1323.65,,,,
2016/9/14,1321.75,,,,
2016/9/15,1310.8,,,,
2016/9/16,1308.35,,,,
2016/9/19,1314.85,,,,
2016/9/20,1313.8,,,,
2016/9/21,1326.1,,,,
2016/9/22,1339.1,,,,
2016/9/23,1338.65,,,,
2016/9/26,1340.5,,,,
2016/9/27,1327,,,,
2016/9/28,1322.5,,,,
2016/9/29,1318.1,,,,
2016/9/30,1322.5,,,,
2016/10/3,1313.3,,,,
2016/10/4,1283.3,,,,
2016/10/5,1269.4,,,,
2016/10/6,1254.5,,,,
2016/10/7,1258.75,,,,
2016/10/10,1259.5,,,,
2016/10/11,1253.45,,,,
2016/10/12,1256.5,,,,
2016/10/13,1261.05,,,,
2016/10/14,1251.75,,,,
2016/10/17,1254.8,,,,
2016/10/18,1258.2,,,,
2016/10/19,1269.05,,,,
2016/10/20,1271.65,,,,
2016/10/21,1266.05,,,,
2016/10/24,1265.55,,,,
2016/10/25,1269.4,,,,
2016/10/26,1270.5,,,,
2016/10/27,1266.25,,,,
2016/10/28,1273,,,,
2016/10/31,1272,,,,
2016/11/1,1288.45,,,,
2016/11/2,1303.75,,,,
2016/11/3,1301,,,,
2016/11/4,1302.8,,,,
2016/11/7,1283.05,,,,
2016/11/8,1282.35,,,,
2016/11/9,1281.4,,,,
2016/11/10,1267.5,,,,
2016/11/11,1236.45,,,,
2016/11/14,1213.6,,,,
2016/11/15,1226.95,,,,
2016/11/16,1229.2,,,,
2016/11/17,1226.75,,,,
2016/11/18,1211,,,,
2016/11/21,1214.25,,,,
2016/11/22,1212.25,,,,
2016/11/23,1185.35,,,,
2016/11/24,1186.1,,,,
2016/11/25,1187.7,,,,
2016/11/28,1187,,,,
2016/11/29,1186.55,,,,
2016/11/30,1178.1,,,,
2016/12/1,1161.85,,,,
2016/12/2,1173.5,,,,
2016/12/5,1162.2,,,,
2016/12/6,1172.5,,,,
2016/12/7,1177.65,,,,
2016/12/8,1171.05,,,,
2016/12/9,1163.6,,,,
2016/12/12,1156.1,,,,
2016/12/13,1158.55,,,,
2016/12/14,1162.25,,,,
2016/12/15,1126.95,,,,
2016/12/16,1131.6,,,,
2016/12/19,1136.25,,,,
2016/12/20,1125.7,,,,
2016/12/21,1133.65,,,,
2016/12/22,1131.35,,,,
2016/12/28,1134.6,,,,
2016/12/29,1145.9,,,,
2017/1/3,1151,,,,
2017/1/4,1164.25,,,,
2017/1/5,1176.7,,,,
2017/1/6,1175.85,,,,
2017/1/9,1178.5,,,,
2017/1/10,1189.5,,,,
2017/1/11,1178.55,,,,
2017/1/12,1205.05,,,,
2017/1/13,1190.35,,,,
2017/1/16,1203,,,,
2017/1/17,1216.05,,,,
2017/1/18,1214.75,,,,
2017/1/19,1196.05,,,,
2017/1/20,1200.55,,,,
2017/1/23,1212.85,,,,
2017/1/24,1216.8,,,,
2017/1/25,1195,,,,
2017/1/26,1189.7,,,,
2017/1/27,1184.85,,,,
2017/1/30,1192.8,,,,
2017/1/31,1212.8,,,,
2017/2/1,1203.65,,,,
2017/2/2,1221.95,,,,
2017/2/3,1215.2,,,,
2017/2/6,1226.75,,,,
2017/2/7,1231,,,,
2017/2/8,1242.1,,,,
2017/2/9,1236.8,,,,
2017/2/10,1228.3,,,,
2017/2/13,1222.25,,,,
2017/2/14,1230.75,,,,
2017/2/15,1224.4,,,,
2017/2/16,1240.55,,,,
2017/2/17,1241.95,,,,
2017/2/20,1237.3,,,,
2017/2/21,1233.2,,,,
2017/2/22,1236.65,,,,
2017/2/23,1247.9,,,,
2017/2/24,1253.65,,,,
2017/2/27,1257.2,,,,
2017/2/28,1255.6,,,,
2017/3/1,1240.4,,,,
2017/3/2,1238.1,,,,
2017/3/3,1226.5,,,,
2017/3/6,1230.95,,,,
2017/3/7,1216.65,,,,
2017/3/8,1209.2,,,,
2017/3/9,1206.55,,,,
2017/3/10,1202.65,,,,
2017/3/13,1204.2,,,,
2017/3/14,1204.6,,,,
2017/3/15,1198.8,,,,
2017/3/16,1229.35,,,,
2017/3/17,1229.6,,,,
2017/3/20,1232.4,,,,
2017/3/21,1241.6,,,,
2017/3/22,1249.05,,,,
2017/3/23,1247.5,,,,
2017/3/24,1247.5,,,,
2017/3/27,1257.55,,,,
2017/3/28,1257.25,,,,
2017/3/29,1251.1,,,,
2017/3/30,1248.8,,,,
2017/3/31,1244.85,,,,
2017/4/3,1247.25,,,,
2017/4/4,1257.65,,,,
2017/4/5,1245.8,,,,
2017/4/6,1252.5,,,,
2017/4/7,1266.45,,,,
2017/4/10,1250.05,,,,
2017/4/11,1252.9,,,,
2017/4/12,1274.3,,,,
2017/4/13,1284.15,,,,
2017/4/18,1278.95,,,,
2017/4/19,1279.05,,,,
2017/4/20,1282.1,,,,
2017/4/21,1281.85,,,,
2017/4/24,1269.4,,,,
2017/4/25,1267.8,,,,
2017/4/26,1261.85,,,,
2017/4/27,1262.8,,,,
2017/4/28,1266.45,,,,
2017/5/2,1255.45,,,,
2017/5/3,1250.3,,,,
2017/5/4,1228.45,,,,
2017/5/5,1228.05,,,,
2017/5/8,1229.8,,,,
2017/5/9,1220.4,,,,
2017/5/10,1222.95,,,,
2017/5/11,1223.15,,,,
2017/5/12,1231.25,,,,
2017/5/15,1233.3,,,,
2017/5/16,1234.2,,,,
2017/5/17,1257.4,,,,
2017/5/18,1255.9,,,,
2017/5/19,1252,,,,
2017/5/22,1258.85,,,,
2017/5/23,1260.2,,,,
2017/5/24,1252.55,,,,
2017/5/25,1256.95,,,,
2017/5/26,1265.05,,,,
2017/5/30,1262.7,,,,
2017/5/31,1266.2,,,,
2017/6/1,1264.85,,,,
2017/6/2,1274.95,,,,
2017/6/5,1279.95,,,,
2017/6/6,1293.5,,,,
2017/6/7,1291,,,,
2017/6/8,1273.1,,,,
2017/6/9,1266.55,,,,
2017/6/12,1266.4,,,,
2017/6/13,1262,,,,
2017/6/14,1275.5,,,,
2017/6/15,1254.55,,,,
2017/6/16,1255.4,,,,
2017/6/19,1248.15,,,,
2017/6/20,1242.2,,,,
2017/6/21,1242.5,,,,
2017/6/22,1250.8,,,,
2017/6/23,1255.7,,,,
2017/6/26,1245.25,,,,
2017/6/27,1249.55,,,,
2017/6/28,1248,,,,
2017/6/29,1243.5,,,,
2017/6/30,1242.25,,,,
2017/7/3,1229.25,,,,
2017/7/4,1223.75,,,,
2017/7/5,1220.3,,,,
2017/7/6,1224.9,,,,
2017/7/7,1215.65,,,,
2017/7/10,1211.9,,,,
2017/7/11,1211.05,,,,
2017/7/12,1218.8,,,,
2017/7/13,1218.9,,,,
2017/7/14,1230.3,,,,
2017/7/17,1234.1,,,,
2017/7/18,1240.75,,,,
2017/7/19,1242.15,,,,
2017/7/20,1238.7,,,,
2017/7/21,1248.55,,,,
2017/7/24,1255.55,,,,
2017/7/25,1254.4,,,,
2017/7/26,1248.1,,,,
2017/7/27,1261.1,,,,
2017/7/28,1264.9,,,,
2017/7/31,1267.55,,,,
2017/8/1,1270.95,,,,
2017/8/2,1269.6,,,,
2017/8/3,1268.1,,,,
2017/8/4,1257.7,,,,
2017/8/7,1258,,,,
2017/8/8,1261.8,,,,
2017/8/9,1271.05,,,,
2017/8/10,1284.4,,,,
2017/8/11,1286.1,,,,
2017/8/14,1282.3,,,,
2017/8/15,1270.3,,,,
2017/8/16,1272.75,,,,
2017/8/17,1285.15,,,,
2017/8/18,1295.8,,,,
2017/8/21,1292.9,,,,
2017/8/22,1284.2,,,,
2017/8/23,1286.65,,,,
2017/8/24,1289,,,,
2017/8/25,1285.3,,,,
2017/8/29,1318.65,,,,
2017/8/30,1308.5,,,,
2017/8/31,1311.75,,,,
2017/9/1,1320.4,,,,
2017/9/4,1333.1,,,,
2017/9/5,1335.55,,,,
2017/9/6,1337.85,,,,
2017/9/7,1343.5,,,,
2017/9/8,1346.25,,,,
2017/9/11,1334.2,,,,
2017/9/12,1326.5,,,,
